TITLE = tetrahedron_mesh_in_3Dplate
VARIABLES = X, Y, Z
ZONE N=10890,E=67597,F=FEPOINT, ET= tetrahedron
0.497389 0.639991 0.380008
0.469965 0.64508 0.383312
0.492115 0.666216 0.372759
0.479917 0.634469 0.366526
0.557593 0.633217 0.681594
0.577752 0.631256 0.710779
0.547578 0.624294 0.700266
0.56394 0.610632 0.694649
0.665011 0.456395 0.234718
0.690267 0.463963 0.258022
0.676196 0.445776 0.270711
0.685769 0.439001 0.244437
0.421957 0.557308 0.222284
0.4133 0.555904 0.247237
0.449991 0.576432 0.243996
0.424818 0.580646 0.26002
0.167617 0.592452 0.441057
0.176636 0.627964 0.460492
0.170161 0.617031 0.496784
0.203951 0.586286 0.475459
0.743778 0.69584 0.342778
0.768681 0.701818 0.402122
0.730481 0.726378 0.365346
0.71795 0.694683 0.364987
0.464461 0.249437 0.315567
0.489221 0.260707 0.309014
0.499786 0.226742 0.2813
0.468539 0.272933 0.286245
0.213 0.660245 0.37978
0.18987 0.643861 0.425011
0.186145 0.610752 0.3917
0.227943 0.644073 0.420262
0.723949 0.696338 0.398498
0.515736 0.708735 0.382648
0.543537 0.730016 0.386355
0.511438 0.735841 0.381194
0.517504 0.718307 0.404209
0.464615 0.382589 0.244456
0.465076 0.407143 0.228986
0.486163 0.389017 0.240382
0.469032 0.38597 0.21951
0.580963 0.525647 0.800878
0.560309 0.491883 0.816169
0.548843 0.519453 0.818745
0.562057 0.510366 0.800472
0.74302 0.433749 0.588737
0.773277 0.448022 0.574277
0.758414 0.444819 0.606943
0.768774 0.429299 0.594469
0.496806 0.795045 0.311749
0.47456 0.761468 0.324661
0.458276 0.775536 0.288248
0.478926 0.749674 0.299551
0.440963 0.623099 0.822275
0.464557 0.626279 0.789978
0.486478 0.642682 0.81931
0.461685 0.596101 0.796004
0.470678 0.60031 0.359749
0.4664 0.614609 0.342441
0.454478 0.600059 0.329461
0.44966 0.611975 0.354328
0.794966 0.409267 0.334886
0.766503 0.366365 0.316649
0.789241 0.36719 0.354393
0.754281 0.383451 0.349368
0.157885 0.573368 0.491357
0.18898 0.569391 0.498289
0.199561 0.599076 0.496576
0.791489 0.421618 0.677174
0.778049 0.422864 0.640232
0.747589 0.409359 0.667513
0.761458 0.433131 0.662046
0.622166 0.172169 0.489896
0.606942 0.213106 0.520437
0.630622 0.222693 0.507686
0.617156 0.20532 0.489464
0.623963 0.644713 0.337317
0.620132 0.664529 0.36513
0.640809 0.664558 0.354198
0.626407 0.670535 0.333034
0.403062 0.314477 0.505039
0.422904 0.299587 0.518557
0.413602 0.318224 0.529466
0.406123 0.294227 0.507762
0.157572 0.440799 0.458305
0.205216 0.435633 0.44052
0.164231 0.451089 0.414171
0.19246 0.461945 0.426213
0.487109 0.700263 0.499092
0.483077 0.697885 0.477165
0.494158 0.675562 0.494837
0.473903 0.671639 0.482056
0.6002 0.794069 0.539081
0.584614 0.80259 0.560912
0.588514 0.837328 0.529576
0.581816 0.809995 0.52379
0.493511 0.36075 0.387536
0.499186 0.370144 0.364353
0.493422 0.345464 0.365476
0.477181 0.359837 0.358691
0.429182 0.726118 0.548701
0.430907 0.735642 0.570319
0.429666 0.749132 0.541158
0.410314 0.752075 0.557798
0.345863 0.485261 0.331193
0.341811 0.499971 0.352082
